라운드메인	메인	테스트 1	1	2025-06-10 10:08:39	life-dev/main	Unnamed: 6	scroll	Unnamed: 8	channel, page_url, scroll_rate, os_name	Rround, https://life-dev.hectoinnovation.co.kr/main, 75, iOS	4	channel, page_url, scroll_rate, os_name.1
라운드메인	메인/캐시전환팝업	상품 클릭	2	2025-06-10 10:08:40	life-dev/main	상품	click	(스페인직수입)소르바스 포도씨유500ml 1P(스페인직수입)소르바스 포도씨유500ml 1P	channel, page_url, click_text, module_id, module_order, prd_order, prd_code, prd_name, prd_brand, prd_price_origin, prd_price_final, prd_disc_rate, prd_is_ad, el_order, module_name, os_name	Rround, https://life-dev.hectoinnovation.co.kr/main, (스페인직수입)소르바스 포도씨유500ml 1P(스페인직수입)소르바스 포도씨유500ml 1P, C-3, 13, 1, 3086, (스페인직수입)소르바스 포도씨유500ml 1P(스페인직수입)소르바스 포도씨유500ml 1P, 마이그스토어, 40000원, 20000원, 50%, F, 1, commerce-category-ranking, iOS	16	channel, page_url, click_text, module_id, module_order, prd_order, prd_code, prd_name, prd_brand, prd_price_origin, prd_price_final, prd_disc_rate, prd_is_ad, el_order, module_name, os_name
라운드메인	메인	테스트 2	3	2025-06-10 10:08:41	ecommerce-dev/product/detail/3086		pageview		channel, page_url, prd_code, os_name	Rround, https://ecommerce-dev.hectoinnovation.co.kr/product/detail/3086, 3086, iOS	4	channel, page_url, prd_code, os_name
라운드메인	메인	테스트 2	4	2025-06-10 10:08:44	ecommerce-dev/product/detail/3086		click		channel, page_url, prd_code, os_name	Rround, https://ecommerce-dev.hectoinnovation.co.kr/product/detail/3086, 3086, iOS	4	channel, page_url, prd_code, os_name
라운드메인	메인	뉴스 클릭	5	2025-06-10 10:09:53	life-dev/main	뉴스	click	[OTT랭킹] '찰떡 캐스팅' 증명한 '광장'…K무비 침체 장기화	channel, page_url, click_text, module_id, module_order, el_order, module_name, article_title, os_name	Rround, https://life-dev.hectoinnovation.co.kr/main, [OTT랭킹] '찰떡 캐스팅' 증명한 '광장'…K무비 침체 장기화, D-1, 14, 1, news-card, [OTT랭킹] '찰떡 캐스팅' 증명한 '광장'…K무비 침체 장기화, iOS	9	channel, page_url, click_text, module_id, module_order, el_order, module_name, article_title, os_name
라운드메인	메인	테스트 2	6	2025-06-10 10:09:54	life-dev/news/detail/10736		click		channel, page_url, os_name	Rround, https://life-dev.hectoinnovation.co.kr/news/detail/10736, iOS	3	channel, page_url, os_name
라운드메인	메인	상품 클릭	7	2025-06-10 10:09:56	life-dev/main	상품	click	(스페인직수입)소르바스 포도씨유500ml 1P(스페인직수입)소르바스 포도씨유500ml 1P	channel, page_url, click_text, module_id, module_order, prd_order, prd_code, prd_name, prd_brand, prd_price_origin, prd_price_final, prd_disc_rate, prd_is_ad, el_order, module_name, os_name	Rround, https://life-dev.hectoinnovation.co.kr/main, (스페인직수입)소르바스 포도씨유500ml 1P(스페인직수입)소르바스 포도씨유500ml 1P, C-3, 13, 1, 3086, (스페인직수입)소르바스 포도씨유500ml 1P(스페인직수입)소르바스 포도씨유500ml 1P, 마이그스토어, 40000원, 20000원, 50%, F, 1, commerce-category-ranking, iOS	16	channel, page_url, click_text, module_id, module_order, prd_order, prd_code, prd_name, prd_brand, prd_price_origin, prd_price_final, prd_disc_rate, prd_is_ad, el_order, module_name, os_name
라운드메인	메인	뉴스 클릭	8	2025-06-10 10:09:53	life-dev/main	뉴스	click	[OTT랭킹] '찰떡 캐스팅' 증명한 '광장'…K무비 침체 장기화	channel, page_url, click_text, module_id, module_order, el_order, module_name, article_title, os_name	Rround, https://life-dev.hectoinnovation.co.kr/main, [OTT랭킹] '찰떡 캐스팅' 증명한 '광장'…K무비 침체 장기화, D-1, 14, 1, news-card, [OTT랭킹] '찰떡 캐스팅' 증명한 '광장'…K무비 침체 장기화, iOS	9	channel, page_url, click_text, module_id, module_order, el_order, module_name, article_title, os_name
라운드메인	메인	테스트 2	9	2025-06-10 10:09:54	life-dev/news/detail/10736		click		channel, page_url, os_name	Rround, https://life-dev.hectoinnovation.co.kr/news/detail/10736, iOS	3	channel, page_url, os_name
라운드메인	메인	상품 클릭	10	2025-06-10 10:09:56	life-dev/main	상품	click	(스페인직수입)소르바스 포도씨유500ml 1P(스페인직수입)소르바스 포도씨유500ml 1P	channel, page_url, click_text, module_id, module_order, prd_order, prd_code, prd_name, prd_brand, prd_price_origin, prd_price_final, prd_disc_rate, prd_is_ad, el_order, module_name, os_name	Rround, https://life-dev.hectoinnovation.co.kr/main, (스페인직수입)소르바스 포도씨유500ml 1P(스페인직수입)소르바스 포도씨유500ml 1P, C-3, 13, 1, 3086, (스페인직수입)소르바스 포도씨유500ml 1P(스페인직수입)소르바스 포도씨유500ml 1P, 마이그스토어, 40000원, 20000원, 50%, F, 1, commerce-category-ranking, iOS	16	channel, page_url, click_text, module_id, module_order, prd_order, prd_code, prd_name, prd_brand, prd_price_origin, prd_price_final, prd_disc_rate, prd_is_ad, el_order, module_name, os_name
라운드메인	메인	테스트 2	11	2025-06-10 10:09:57	ecommerce-dev/product/detail/3086		pageview		channel, page_url, prd_code, prd_price_origin, prd_price_final, prd_disc_rate, prd_review_cnt, prd_review_score, prd_tag, os_name	Rround, https://ecommerce-dev.hectoinnovation.co.kr/product/detail/3086, 3086, 40000원, 18000원, 55%, 0, 0, #포도씨유___#올리브유___#소르바스___#압착오일___#엑스트라버진___#해바라기유___#카놀라유___#유기농, iOS	10	channel, page_url, prd_code, prd_price_origin, prd_price_final, prd_disc_rate, prd_review_cnt, prd_review_score, prd_tag, os_name
라운드메인	메인	테스트 2	12	2025-06-10 10:10:37	ecommerce-dev/product/detail/3086		click		channel, page_url, tab_name, prd_code, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_review_cnt, prd_review_score, prd_tag, os_name	"Rround, https://ecommerce-dev.hectoinnovation.co.kr/product/detail/3086, 상품상세
, 3086, (스페인직수입)소르바스 포도씨유500ml 1P(스페인직수입)소르바스 포도씨유500ml 1P, 40000원, 20000원, 55%, 0, 0, #포도씨유___#올리브유___#소르바스___#압착오일___#엑스트라버진___#해바라기유___#카놀라유___#유기농, iOS"	12	channel, page_url, tab_name, prd_code, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_review_cnt, prd_review_score, prd_tag, os_name
라운드메인	메인	테스트 2	13	2025-06-10 10:10:41	life-dev/main		scroll		channel, page_url, scroll_rate, os_name	Rround, https://life-dev.hectoinnovation.co.kr/main, 75, iOS	4	channel, page_url, scroll_rate, os_name
라운드메인	메인	뉴스	14	2025-06-10 10:10:42	life-dev/main	뉴스	click	K뮤지컬 통했다…'어쩌면 해피엔딩' 토니상 극본상·음악상 수상	channel, page_url, click_text, module_id, module_order, el_order, module_name, article_title, os_name	Rround, https://life-dev.hectoinnovation.co.kr/main, K뮤지컬 통했다…'어쩌면 해피엔딩' 토니상 극본상·음악상 수상, D-1, 19, 1, news-card, K뮤지컬 통했다…'어쩌면 해피엔딩' 토니상 극본상·음악상 수상, iOS	9	channel, page_url, click_text, module_id, module_order, el_order, module_name, article_title, os_name
